id,doc,POI_ID
10,"The Government of India Tourist Office offers daily tours, coverings all of the major Delhi sites. If you should choose to go with the government-sanctioned day tour, be aware that due to the heavy agenda, you will need to have a quick foot, only 20-40 min are given for each sight, which is next to no time. Consider this day tour as a sampler. If there is a sight of particular interest, bookmark it and return at a later date.",10
11,"Purana Qila is the walled citadel of Mughal Emperor Humayun. It later turned into an urban village before becoming a monument. Ruins of the 16th century city of Shergarh, this complex sits on top of what is believed to be the site of Indraprastha, the capital of the Pandavas in the Mahabharata epic.",11
12,A mosque in the Purana Qila built by Sher Shah Suri,12
13,The two storeyed library inside Purana Qila. It is in this library that Humayun fell from stairs and died,13
14,A gate built by Humayun located in Purana Qila. It is the southeast gate of the fort.,14
15,The northern gate of Purana Qila. It has a marble carving of warring lions with a man in front.,15
16,A small elongagted step well (baoli) located near the Qila-i-Kuhna Masjid and Sher Mandal,16
17,Located next to the Sher Mandal the ruined hammam (bath house) have remains of terracotta pipes and ribber water chutes.,17
18,A historical steep well believed to be built during to time of Maharaja Agrasen of the Mahabharata era and reconstructed in the 14th century. Also here is the Baoli Mosque.,18
19,"Built by Mirza Aziz Kota, a foster brother of Akbar and an important noble during the time of Jahangir, this building has the tomb of Aziz Kota. The meaning of it is 64 pillars that support the structure. It also has other unidentified tombs.",19
20,This monument has a unique concept. Guru Tegh Bahadur has been depicted by a central pylon but his three disciples by three semi arches.,20
21,This monument has been built as a memorial for the Indian soldiers who died in World War I. There is also an eternal flame for all fallen Indian soldiers.,21
22,One of five astronomical observatories commissioned by Sawai Jai Singh II of Jaipur during the 18th century. The odd structures inside are enormous scientific instruments for measuring the movement of celestial bodies,22
23,"This is a main parade route that leads from Rashtrapati Bhavan (the President's residence) to India Gate, with many grassy lawns along the way. Especially nice in the evenings and at night when the buildings are lit and the vendors come out to supply the many picnicking families. Every year, on Republic Day (January 26), there is a massive parade here which showcases India's culture and military - highly recommended.",23
24,"This is the first tomb built in Delhi. It was built by Iltutmish in 1231AD for his son Prince Ghiyasuddin Mohammad. This was later renovated by Feroz Shah Tughlaq. It is in the form of a fortress with a courtyard like layout, not common among tombs. The octagonal grave–chamber with the crypt has an underground opening. The western prayer wall has a mihrab, decorated with marble in exquisite Turkish and Afghan design and inclde some inscriptions from the Quran. The front, marble facade, dated to Feroze Shah's rule (1351–88). The prayer chamber depicts a base slab of a Linga. - Events: # Thursday is a special (tolerance) day for worship when devotees both Hindus and Muslims. # Every year, on the 17th day of the Islamic month of between Ramadan and Eid festivals, the “Urs of Nasiruddin Shah” (death anniversary) fest is held.",24
25,"This contains two separate masoleums which have the tombs of Lal Kunwar and her daughter Begum Jaan. Lal Kunwar was the wife of Mughal ruler Jahander Shah and mother of another Mughal ruler Shah Alam II. Lal Kunwar is similar to Nur Jahan, who monopolised power and gave important posts to his member of his family. The adjacent areas have the tombs of unknown tombs of third last Mughal emperor Akbar Shah II.",25
26,,26
27,"It is a Central Government Officers and Staff Residential Colony, built in the 1940s. Here are some 'tourist' places like the Sai Baba Temple of Lodhi Road, Khan Market, Jor Bagh, the 16th century Tomb of Sikander Lodhi, situated in Lodhi Gardens and the India Habitat Centre. There are several municipal parks including Charbagh which features the Lodhi Gardens. - The three main shopping markets in this area are Khanna Market, Khan Market one of the poshest & expensive market and Meherchand Market. Chocolate Wheel Confectionary in the Jor Bagh area is a very popular bakery.",27
28,,28
29,"Janpath. The layout here is labyrinthine and the presentation won't win any awards, but the collection is unparalleled and contains some true masterpieces. The section on the Indus Valley Culture and the one on Buddhist Heritage is most informative. The museum also showcases the arts and handicrafts from different regions of India. Keep an eye out for the 4,600 year old Harappan temple dancer, the Gandhara-era standing Buddha with Greek hair and a Roman toga, the stunning miniature painting gallery, and the giant temple chariot parked outside. An informative place for all interested in knowing more about Indian culture and history.",29
30,,30
31,Chanakyapuri. houses a collection of Indian trains from the past to the present - a worthwhile look into India's proud railway heritage. The collection includes carriages belonging to Indian potentates and British viceroys. Children can ride the small train that circumnavigates the museum. There is a small cafe on the premises. Open 09:30-19:30 (Apr-Sept) and 09:30-17:30 (Oct-Mar). Closed Mondays and national holidays.,31
32,"Former residence of India's first prime minister, Jawaharlal Nehru. Was used by the Commander-in-chief of the Indian Army before Indian Independence. After Nehru's death in 1964, it was converted into a museum of his life, plus a library. It is one the biggest libraries of Delhi with 100,000 photographs, 18,000 microfilm rolls, and over 10,000 manuscripts. Also includes a planetarium (costs ₹50 adults, ₹25 children) where they show a movie on astronomy and the universe.",32
33,in the Parliament of India Library Building. -,33
34,"A monument representing the Salt March led by Gandhi in 1930 - a classic case of civil disobedience which played a key role in the Indian independence movement, and inspired later protesters such as Martin Luther King. The ""11 sculptures"" in the monument are designed to look like people of different religions and castes, all marching together.",34
35,"It is the headquarters of the Church of North India, Delhi Diocese. Built by Henry Medd between 1927-1935 it is a fine example of Colonial architecture.",35
36,It is the biggest church in terms of structure and also the headquarters of the Delhi Catholic Archdiocese. A must visit to enjoy the beautiful architecture and pristine beauty.,36
37,It is the headquarters of the Jacobite Syrian Orthodox church in Delhi. It is known as the Antioch of the East and is a fine example of Oriental architecture blended with modernity.,37
38,"- This is the main gurudwara [dead link] for the many Sikhs of Delhi. You will need to cover your head (scarves provided for free) and stash your shoes in the shoe storage run by volunteers. Compared to other big tourist attractions, is free of scam or rude guards and can be enjoyed without hassle. You can sit inside and listen to the readings and prayers in Punjabi. Men should cover their head with something, although it is not mandatory, it will be seen as a sign of respect.",38
39,"Built in 1783. The temple built near old Raisina village near Raisina Hill, at present Pandit Pant Marg, took 12 years to build.",39
40,"The ancient Hindu temple has a self manifest idol of Hanuman Ji (who was an ardent devotee of Rama according to the Hindu legends), has an unusual feature fixed in the spire (Viman) in the form of a crescent moon (an Islamic symbol) instead of the Hindu symbol of Aum or Sun that is commonly seen in most Hindu temples.",40
41,One of the most popular temples of Devi Durga is Jhandewala Temple.,41
42,Founded in 1930s,42
43,"The main temple within the complex, formally called Sree Swaminatha Swami Temple, houses the sanctum sanctorum of Lord Swaminatha. The temple is built entirely of granite, and is reminiscent of the Chola style of South Indian Temple Architecture.",43
44,"The shape is circular, which is based on the Ashoka Chakra. There are separate halls for the sessions of the Chamber of Princes, the State Council, and the Central Legislative Assembly. The building is surrounded by large gardens and fenced off by sandstone railings modelled after the Great Stupa of Sanchi.",44
45,It is a peaceful park in the heart of New Delhi. Lodhi garden is ideal for morning walks in the hot season and for afternoon strolls and picnics during the cooler months.,45
46,"The Mughal Garden, that reside in President House is very popular",46
47,"It is a large park in the new Delhi neighbourhood of Chankayapuri, lying in the southwest.",47
48,Well maintained park and a really nice place to walk around and relax. There are plenty of trees that provide shade for sitting down in during a hot day.,48
49,"It is perhaps India's most luxuriant mall. You'll find 3 floors of international designer brands, as well as a number of Indian designers. Emporio also houses one of New Delhi's most popular new restautrants, Set'z (formerly Zest), a chic dining experience with over seven different cuisines to choose from.",49
50,"It is one luxury malls. The mall has been designed by architect Mohit Gujral and Chandu Chadha in Italian marble, burnished wood, and gleaming brass detailing. DLF Emporio has four floors including ground floor and comprises an area of 3 ha. The mall features over 170 brands including 75 international brands. The promoters also run a 180-seater, high-end restaurant called Setz.",50
51,Features the only 7-screen multiplex in Delhi,51
52,"A unique cross between a European shopping arcade, an Indian bazaar, and an upmarket shopping mall. With all shops laid out in 2 circles, it's easy to get around and explore.",52
53,"is a bargain-hunter's dream and just a two minute walk from Connaught place. Think of it as a vast flea market, where you can get all kinds of knick-knacks and clothes. Janpath is not a place for those unwilling or unable to bargain ruthlessly. Also, as in any flea market, quality will vary greatly. There are also some bookshops.",53
54,"– This is a large underground market in the centre of Connaught Place. The air here is bad and the quality of products low. One can hunt for DVDs, VCDs and audio CDs of Hindi, English and a few regional and foreign language films and PC-based games.",54
55,"This market is great for export surplus garments, and green grocery.",55
56,"This up-scale area of independent shops is where foreign diplomats go for lunch and to shop for dog supplies, groceries (great choice of vegetables), clothes (upper class Indian style, not expensive, Fabindia and Anohki for women's clothing), housewares (Good Earth), jewellery/accessories, and books (many bookshops that have a wide selection at reasonable prices).",56
57,"is the main government-run location for selling handicrafts from all over the country. The prices are a little more than what you'd find if you went bargain hunting, but you can shop in air-conditioned comfort and all of the sales people speak English. The quality of items is quite good. You can pay with credit cards.",57
58,also sells some handicrafts.,58
59,One of the biggest and famous market of South Delhi.,59
60,"is the state's equivalent of a Cottage. one of the radial streets coming off of Connaught Place, and each state specializes in certain kinds of crafts. Some are better priced than others, and you can bargain a little. Many of them will take credit cards.",60
61,"Crafts fairs happen here every week. - It is a wonderful place to get crafts from all over the country. What is distinctive here is that the artists themselves come to sell their goods, so your money goes directly to them, rather than to middlemen. Some bargaining may be necessary if you want the best price. Prices are higher than elsewhere, but the modest entry fee keeps out beggars, ripoff artists, and most touts. Many visitors find the mellow atmosphere worth the extra cost of shopping here. It also has a section called Foods of India. This has a huge number of restaurants, each showcasing the food of a particular state of India. (Most of them give a mix of Chinese and Indian food, but state delicacies are also included). This section is a must-go for the foodie-cum-tourist.",61
62,"A popular store for high quality traditional clothing that caters to foreigners with a Western style store that is inside, with fixed prices, and no haggling.",62
63,A government initiative to showcase hand woven fabrics from around the country.,63
64,A wonderfully chaotic bookshop. Excellent selection of titles. Very helpful and knowledgeable staff.,64
65,"A well known independent book store - wide range of classics and religious books. Full Circle also publishes books by US and UK publishers under license, and is home to the celebrated Turtle Cafe.",65
66,"Two more disorganized bookstores, but with an excellent variety of books available at excellent prices.",66
67,"A roomali rolls and kababs restaurant serving chicken, mutton, paneer, and rolls. Very popular with locals.",67
68,"A good South Indian joint located in Janpath very close to Connaught Place. They are a Chennai chain operating in Delhi. If you go at lunch time, prepare to wait a while. The various dosas are recommended, as well as the thalis (meals) and the sweet dishes.",68
69,This restaurant proudly claims to be the inventor of butter chicken.,69
70,"Italian style food, great pizzas, carpaccio, pasta and wines. Mains are about ₹ 500.",70
71,near Lodhi Road and various other locations in Delhi. Italian style food.,71
72,A casual style restaurant with middling ambience but good service and great food. They serve authentic Indian cuisine made from ingredients from their own small garden or organically sourced. Seasonal but small menu with Indian curries being the highlight.,72
73,Contemporary Indian with live music.,73
74,A standard chain coffee shop. Friendly and helpful staff.,74
75,Basic hotel.,75
76,Clean and pleasant design/style. Free breakfast when you book directly from the hotel website; otherwise there is a ₹200 charge.,76
77,Clean and pleasant design/style.,77
78,Clean and pleasant design/style.,78
79,32 rooms.,79
80,"Bed & breakfast located in a safe, green, quite, residential area. Caters to single female travelers.",80
81,It is a member of the Hostelling International federation.,81
82,Boutique hotel with 45 spacious rooms along with multi-cuisine restaurant and coffee lounge.,82
83,"Hotel Delhi Aerocity is a budget hotel near Indira Gandhi International airport offering 3-star hotel facilities and services with in-house 24 hour restaurant and room service, airport pick up and drop services. Rooms are well spacious with modern interiors, free wi-fi, LCD, AC and fitted with all modern amenities.",83
84,"20 min from the Indira Gandhi International Airport and 10 min from New Delhi Railway Station. Satellite TV, wifi, and a private toilet and bath. They also have a conference hall for business meetings and guests.",84
85,Bed and breakfast homestay in Delhi,85
86,"Large rooms with air-con, TV, hot shower, room service.",86
87,Bed and breakfast.,87
88,"Clean quiet rooms, centrally located, terrace garden. All rooms have air-con, cable TV.",88
89,"Clean and comfortable with breakfast included, a very friendly professional staff.",89
90,Room service and a restaurant available for breakfast and dinner. Lockers available.,90
91,Mostly a business hotel. 5 stars. Includes a luxury retail complex. Views of Humayun's Tomb and the New Delhi Golf Course.,91
92,Situated on 25 acres in the diplomatic enclave.,92
93,Built in 1952 and renovated.,93
94,Sprawling resort hotel.,94
95,"390-room business hotel generally not for tourists. Opulent lobby, modern rooms, pool and spa.",95
96,"Huge and slightly aged, but still 5 stars, outdoor pool, small gym and spa, 3 restaurants, and all the usual amenities. Halfway between the airport and Connaught Place.",96
97,"Built in 1931. Has the only Chanel store in India as well as a priceless art collection, 'British Art on India.' It also has the largest collection of land war gallantry awards from India and neighbouring countries. Very classy, best value for least money in first class range. Good food and excellent service in restaurants.",97
98,"One of the best hotels in the city. Great restaurants, including the Bukhara.",98
99,Opened in 2014. Excellent buffet. Good for families.,99
100,Known for excellent breakfasts.,100
101,Landmark refurbished 5-star hotel. Along with the Shangri-La is one of the best hotels in the city in terms of location.,101
102,"The Convention Centre is spread over 70,000 sq. feet and comprises one pillarless hall that can accommodate roughly 3,000 guests in theatre style and offers 13 break-out rooms and several outdoor options. The hotel has 480 guest rooms and suites and 3 separate entrances, allowing multiple conferences and weddings to take place simultaneously.",102
103,The hotel building has been awarded an L.E.E.D. Platinum certification.,103
104,,104
105,Good kebabs at the restaurant.,105
106,"Just touches the 5 star luxury hotel levels, is a twin of The Ashoka Hotel.",106
107,"Part of the Shangri La chain. Seafood buffets, an extensive breakfast buffet, and a good Asian restaurant on 1st floor with a Thai, Chinese and Japanese menu. 5 star service and good security.",107
108,294 rooms.,108
109,403 rooms on 6 acres.,109
